a;b;c;d;e;f;g;h;i;j
2,1;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,2;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,3;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,4;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,5;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,6;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,8;0,4
2,6;0,8;0,4;0,7;0,9;1,0;0,2;0,3;1,9;0,4
2,6;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,0;0,4
2,6;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,1;0,4
2,7;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,1;0,4
2,8;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,1;0,4
2,9;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,1;0,4
2,9;0,8;0,4;0,7;0,9;1,0;0,2;0,3;2,1;0,5
